17001,Geetha,3001,50,2022-05-10
17002,Guru,3002,50,2022-05-12
17003,Gokul,3003,50,2022-05-15
17004,Mani,3004,60,2022-05-20
17005,Moorthy,3005,50,2022-05-23
17006,Amutha,3006,50,2022-06-05
17007,Jaga,3003,70,2022-06-06
17008,Pavithra,3007,60,2022-06-07
17009,Arthi,3005,50,2022-06-08
17010,Kabilan,3006,70,2022-06-09
17011,Manasi,3001,70,2022-06-10
17012,Suja,3002,50,2022-06-11
17013,Arun,3003,60,2022-06-12
17014,Deepa,3004,60,2022-06-13
17015,Sindhu,3005,80,2022-06-14
17016,Madhavi,3002,50,2022-06-15
17017,Swetha,3002,70,2022-06-16
17018,Selvi,3002,70,2022-06-17
17019,Pooja,3002,70,2022-06-18
17020,Lakshmi,3002,70,2022-06-19
17021,Veeramani,3002,80,2022-06-20
17022,Pandian,3002,80,2022-06-21
17023,Veera,3002,80,2022-06-22
17024,Devi,3005,70,2022-06-23
17025,Devan,3006,60,2022-06-24
17026,Keerthi,3001,60,2022-06-25
17027,Venkatesh,3003,80,2022-06-26
17028,Raja,3004,60,2022-06-27
17029,Priya,3005,70,2022-06-28
17030,mariya,3006,80,2022-06-29
17031,srinivasan,3005,70,2022-06-30
17032,ganesan,3006,80,2022-07-01
17033,Praveen,3001,80,2022-07-02
